date,Tests,Positives,Negatives,number_of_indeterminates,Odds,Date
2020-02-28,3,0,3,0,0.0,2020-02-28
2020-02-29,1,0,1,0,0.0,2020-02-29
2020-03-01,4,0,4,0,0.0,2020-03-01
2020-03-02,4,0,4,0,0.0,2020-03-02
2020-03-03,10,0,10,2,0.0,2020-03-03
2020-03-04,12,0,12,0,0.0,2020-03-04
2020-03-05,15,0,15,0,0.0,2020-03-05
2020-03-06,13,2,11,0,0.18181818181818182,2020-03-06
2020-03-07,23,0,23,0,0.0,2020-03-07
2020-03-08,35,2,33,0,0.06060606060606061,2020-03-08
2020-03-09,46,4,42,0,0.09523809523809523,2020-03-09
2020-03-10,27,6,21,0,0.2857142857142857,2020-03-10
2020-03-11,60,11,49,0,0.22448979591836735,2020-03-11
2020-03-12,96,45,51,1,0.8823529411764706,2020-03-12
2020-03-13,145,31,114,0,0.2719298245614035,2020-03-13
2020-03-14,131,27,104,0,0.25961538461538464,2020-03-14
2020-03-15,136,26,110,0,0.23636363636363636,2020-03-15
2020-03-16,572,134,438,0,0.3059360730593607,2020-03-16
2020-03-17,1052,160,892,0,0.17937219730941703,2020-03-17
2020-03-18,1397,251,1146,0,0.21902268760907503,2020-03-18
2020-03-19,1525,300,1225,1,0.24489795918367346,2020-03-19
2020-03-20,1693,344,1349,0,0.25500370644922166,2020-03-20
2020-03-21,992,266,726,0,0.36639118457300274,2020-03-21
2020-03-22,677,167,510,0,0.32745098039215687,2020-03-22
2020-03-23,1795,488,1307,0,0.37337413925019125,2020-03-23
2020-03-24,2044,498,1546,0,0.3221216041397154,2020-03-24
2020-03-25,1960,520,1440,1,0.3611111111111111,2020-03-25
2020-03-26,2249,696,1553,0,0.4481648422408242,2020-03-26
2020-03-27,2215,671,1544,3,0.43458549222797926,2020-03-27
2020-03-28,1325,479,846,1,0.566193853427896,2020-03-28
2020-03-29,823,384,439,0,0.8747152619589977,2020-03-29
2020-03-30,2127,858,1269,1,0.6761229314420804,2020-03-30
