date,Date,Molecular Total,Tests,Positives,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests,All Molecular Tests,All Positive Molecular Tests,Antigen Positive New,Antigen New,Antigen Total,Negatives,Odds
2020-03-10,2020-03-10,437,104,14,,1,0,0,103,6,109,14,0,0,0,90,0.15555555555555556
2020-03-11,2020-03-11,608,171,22,,1,0,0,176,6,182,23,0,0,0,149,0.1476510067114094
2020-03-12,2020-03-12,1023,415,29,,1,0,0,424,7,431,29,0,0,0,386,0.07512953367875648
2020-03-13,2020-03-13,1959,936,61,,1,0,0,970,14,984,64,0,0,0,875,0.06971428571428571
2020-03-14,2020-03-14,2853,894,73,,1,0,0,920,15,935,74,0,0,0,821,0.08891595615103533
2020-03-15,2020-03-15,3874,1021,68,,1,0,0,1058,27,1085,72,0,0,0,953,0.07135362014690451
2020-03-16,2020-03-16,6003,2129,150,,1,0,0,2218,18,2236,152,0,0,0,1979,0.07579585649317837
2020-03-17,2020-03-17,8668,2665,249,,1,0,0,2760,28,2788,255,0,0,0,2416,0.10306291390728477
2020-03-18,2020-03-18,11628,2960,259,,1,0,0,3071,156,3227,263,0,0,0,2701,0.0958904109589041
2020-03-19,2020-03-19,14512,2884,278,,1,0,0,2995,142,3137,286,0,0,0,2606,0.10667689946277821
2020-03-20,2020-03-20,18137,3625,388,,1,0,0,3755,124,3879,394,0,0,0,3237,0.11986407167130059
2020-03-21,2020-03-21,20659,2522,322,,1,0,0,2604,168,2772,340,0,0,0,2200,0.14636363636363636
2020-03-22,2020-03-22,22542,1883,286,,1,0,0,1941,160,2101,298,0,0,0,1597,0.17908578584846588
2020-03-23,2020-03-23,26298,3756,609,,1,0,0,3894,202,4096,632,0,0,0,3147,0.19351763584366063
2020-03-24,2020-03-24,30260,3962,718,,1,0,0,4111,208,4319,738,0,0,0,3244,0.22133168927250307
2020-03-25,2020-03-25,34329,4069,746,,1,0,0,4212,269,4481,792,0,0,0,3323,0.22449593740595847
2020-03-26,2020-03-26,38712,4383,935,,1,0,0,4540,299,4839,984,0,0,0,3448,0.2711716937354988
2020-03-27,2020-03-27,43046,4334,943,,1,0,0,4470,344,4814,1007,0,0,0,3391,0.2780890592745503
2020-03-28,2020-03-28,45827,2781,654,,1,0,0,2868,332,3200,704,0,0,0,2127,0.307475317348378
2020-03-29,2020-03-29,47885,2058,523,,1,0,0,2155,318,2473,576,0,0,0,1535,0.34071661237785017
2020-03-30,2020-03-30,52892,5007,1238,,1,0,0,5164,416,5580,1317,0,0,0,3769,0.3284690899442823
2020-03-31,2020-03-31,58107,5215,1266,,1,0,0,5460,471,5931,1403,0,0,0,3949,0.32058749050392504
2020-04-01,2020-04-01,63001,4894,1338,,1,0,0,5114,465,5579,1425,0,0,0,3556,0.3762654668166479
2020-04-02,2020-04-02,68172,5171,1277,,4,3,1,5408,596,6004,1403,0,0,0,3894,0.32794042116076016
2020-04-03,2020-04-03,73873,5701,1480,,4,0,0,5939,629,6568,1625,0,0,0,4221,0.3506278133143805
2020-04-04,2020-04-04,77830,3957,1162,,8,4,1,4054,690,4744,1322,0,0,0,2795,0.41574239713774597
2020-04-05,2020-04-05,81221,3391,977,,8,0,0,3565,540,4105,1078,0,0,0,2414,0.40472245236122617
2020-04-06,2020-04-06,87794,6573,1930,,12,4,0,6798,783,7581,2100,0,0,0,4643,0.41567951755330607
2020-04-07,2020-04-07,94298,6504,2022,,16,4,0,6655,967,7622,2241,0,0,0,4482,0.45113788487282463
2020-04-08,2020-04-08,101027,6729,1864,,18,2,0,6972,983,7955,2107,0,0,0,4865,0.3831449126413155
2020-04-09,2020-04-09,107374,6347,1978,,40,22,2,6728,1042,7770,2276,0,0,0,4369,0.45273517967498283
2020-04-10,2020-04-10,114880,7506,2055,,41,1,1,7784,1063,8847,2315,0,0,0,5451,0.37699504678040724
2020-04-11,2020-04-11,119298,4418,1329,,42,1,0,4591,817,5408,1506,0,0,0,3089,0.4302363224344448
2020-04-12,2020-04-12,122255,2957,930,,45,3,2,3055,720,3775,1073,0,0,0,2027,0.45880611741489885
2020-04-13,2020-04-13,128338,6083,1986,,53,8,0,6212,1148,7360,2231,0,0,0,4097,0.48474493531852575
2020-04-14,2020-04-14,138174,9836,2927,,61,8,2,10031,1510,11541,3271,0,0,0,6909,0.4236503111883051
2020-04-15,2020-04-15,147801,9627,2541,,71,10,2,9983,1472,11455,2854,0,0,0,7086,0.3585944115156647
2020-04-16,2020-04-16,156594,8793,2386,,92,21,0,8946,1756,10702,2797,0,0,0,6407,0.37240518183237087
2020-04-17,2020-04-17,167435,10841,2990,,171,79,5,11275,1851,13126,3323,0,0,0,7851,0.380843204687301
2020-04-18,2020-04-18,173375,5940,1481,,179,8,3,6305,1173,7478,1708,1,1,1,4459,0.33213725050459747
2020-04-19,2020-04-19,177922,4547,1089,,189,10,1,4659,945,5604,1267,0,0,1,3458,0.3149219201850781
2020-04-20,2020-04-20,188532,10610,2686,,252,63,6,10994,1978,12972,3109,0,0,1,7924,0.33897021706208985
2020-04-21,2020-04-21,197865,9333,2187,,327,75,11,9642,2183,11825,2711,0,0,1,7146,0.3060453400503778
2020-04-22,2020-04-22,210148,12283,2706,,473,146,17,12641,2758,15399,3230,0,0,1,9577,0.2825519473739167
2020-04-23,2020-04-23,220820,10672,2406,,945,472,30,10841,2587,13428,2933,0,0,1,8266,0.2910718606339221
2020-04-24,2020-04-24,233053,12233,2277,,1843,898,82,12344,2557,14901,2816,0,0,1,9956,0.22870630775411813
2020-04-25,2020-04-25,241151,8098,1494,,2330,487,25,8400,1867,10267,1830,0,0,1,6604,0.2262265293761357
2020-04-26,2020-04-26,245979,4828,845,,2785,455,36,4774,1433,6207,1166,0,0,1,3983,0.21215164448907858
2020-04-27,2020-04-27,256827,10848,2129,,3925,1140,79,10819,2976,13795,2770,0,0,1,8719,0.24417937836907902
2020-04-28,2020-04-28,268946,12119,2104,,5344,1419,83,12233,3045,15278,2767,0,0,1,10015,0.21008487269096354
2020-04-29,2020-04-29,281435,12489,2187,,7047,1703,105,12556,2959,15515,2825,0,0,1,10302,0.21228887594641818
2020-04-30,2020-04-30,295053,13618,2047,,8421,1374,116,13710,3184,16894,2705,0,0,1,11571,0.1769077867081497
2020-05-01,2020-05-01,308979,13926,2083,,10195,1774,130,13960,3336,17296,2732,0,0,1,11843,0.17588448872751836
2020-05-02,2020-05-02,316153,7174,1029,,10790,595,57,7291,1914,9205,1412,0,0,1,6145,0.16745321399511798
2020-05-03,2020-05-03,321202,5049,734,,11194,404,42,5033,1439,6472,1001,0,1,2,4315,0.17010428736964078
2020-05-04,2020-05-04,333048,11846,1879,,13211,2017,162,11811,3634,15445,2710,0,0,2,9967,0.18852212300591953
2020-05-05,2020-05-05,345470,12422,1736,,15186,1975,157,12353,3675,16028,2507,0,1,3,10686,0.16245554931686318
2020-05-06,2020-05-06,358614,13144,1699,,17162,1976,183,13041,3655,16696,2484,0,0,3,11445,0.14844910441240716
2020-05-07,2020-05-07,371936,13322,1679,,19229,2067,173,13397,3730,17127,2469,0,0,3,11643,0.1442068195482264
2020-05-08,2020-05-08,385063,13127,1454,,21113,1884,136,13180,3778,16958,2224,0,0,3,11673,0.12456095262571747
2020-05-09,2020-05-09,390846,5783,684,,21740,627,38,5716,2000,7716,1025,0,0,3,5099,0.13414394979407726
2020-05-10,2020-05-10,393972,3126,385,,22094,354,77,3069,1492,4561,674,0,0,3,2741,0.14045968624589567
2020-05-11,2020-05-11,405629,11657,1306,,23931,1837,161,11577,4072,15649,2124,0,0,3,10351,0.12617138440730363
2020-05-12,2020-05-12,418775,13146,1450,,25800,1869,148,13039,4333,17372,2271,0,0,3,11696,0.12397400820793433
2020-05-13,2020-05-13,432612,13837,1314,,27618,1818,178,13732,4195,17927,2112,1,1,4,12523,0.10492693444062924
2020-05-14,2020-05-14,445855,13243,1314,,29295,1677,164,13141,4243,17384,2084,0,0,4,11929,0.11015173107553022
2020-05-15,2020-05-15,459550,13695,1104,,30908,1613,141,13586,4239,17825,1852,0,0,4,12591,0.0876816773886109
2020-05-16,2020-05-16,466592,7042,645,,31442,534,50,6956,2389,9345,1033,1,1,5,6397,0.10082851336564014
